aircraft_type,altitude_bin,number_struck,number_struck_actual,flight_date,engines,origin_state,flight_phase,wildlife_size,conditions_sky,wildlife_species,pilot_warned,altitude,is_high_altitude,flight_year,flight_month,airport_name_clean,latitude,longitude,elevation_ft,nearest_turbine_km,state_abbr,Station_ID,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,is_migration_season,risk_level,risk_target
Airplane,"(30, 50]",1,1,2002-08-08,3.0,Illinois,Climb,Small,No Cloud,Unknown bird - small,False,50,False,2002,8,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,19.85,68.5,12.75,15.9,0.0,1017.05,1,Medium,1
Airplane,"(200, 400]",1,1,2002-08-11,2.0,Illinois,Approach,Small,Some Cloud,Unknown bird - small,False,300,False,2002,8,GREATER PEORIA REGIONAL ARPT,38.812906,-106.120062,7946.0,1287.5633843304047,IL,KORD_Chicago,11.9,69.0,10.7,7.1000000000000005,0.0,1009.05,1,Low,0
Airplane,"(-1, 0]",1,1,2002-08-11,2.0,Illinois,Landing Roll,Medium,Some Cloud,Ring-billed gull,True,0,False,2002,8,MERRILL C MEIGS ARPT,42.750099182128906,-77.78389739990234,910.0,816.3389135750635,IL,KORD_Chicago,11.9,69.0,10.7,7.1000000000000005,0.0,1009.05,1,High,2
Airplane,"(-1, 0]",1,1,2002-08-13,2.0,New York,Take-off run,Medium,No Cloud,Unknown bird - medium,True,0,True,2002,8,BUFFALO-NIAGARA INTL,42.940498,-78.732201,728.0,16.688896633415297,NY,KJFK_New_York,3.15,77.5,6.6,7.7,0.0,1020.85,1,High,2
Airplane,"(-1, 0]",1,1,2002-08-13,2.0,Colorado,Take-off run,Small,No Cloud,Unknown bird - small,False,0,True,2002,8,DENVER INTL AIRPORT,39.52920150756836,-104.65799713134766,6295.0,27.573111187238812,CO,KDEN_Denver,18.5,70.5,26.2,12.45,0.0,1002.85,1,High,2
Airplane,"(1000, 2000]",1,1,2002-08-13,2.0,Illinois,Climb,Small,Overcast,Unknown bird - small,False,2000,True,2002,8,CHICAGO MIDWAY INTL ARPT,41.785999,-87.752403,620.0,8.607490552607114,IL,KORD_Chicago,22.2,68.5,10.35,11.6,0.9,1011.6,1,Medium,1
Airplane,"(50, 100]",1,1,2002-08-13,2.0,New York,Approach,Small,No Cloud,Unknown bird - small,False,100,False,2002,8,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,3.15,77.5,6.6,7.7,0.0,1020.85,1,Low,0
Airplane,"(-1, 0]",1,1,2002-08-14,2.0,Illinois,Landing Roll,Large,Overcast,Unknown bird - large,False,0,False,2002,8,DUPAGE AIRPORT,41.90779877,-88.24859619,759.0,32.15621751349237,IL,KORD_Chicago,3.1,71.0,9.9,14.6,0.0,1007.25,1,High,2
Airplane,"(-1, 0]",1,1,2002-08-18,2.0,Illinois,Take-off run,Small,No Cloud,Unknown bird - small,False,0,False,2002,8,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,17.2,57.5,12.6,12.65,0.0,1014.75,1,High,2
Airplane,"(-1, 0]",1,1,2002-08-20,2.0,Illinois,Take-off run,Small,Some Cloud,Unknown bird - small,False,0,False,2002,8,GREATER KANKAKEE ARPT,41.07139968869999,-87.8462982178,630.0,10.215583424947566,IL,KORD_Chicago,6.566666666666666,67.33333333333333,9.933333333333334,13.466666666666669,1.6,1015.9666666666668,1,Medium,1
Airplane,"(400, 600]",1,1,2002-08-22,1.0,Colorado,Climb,Large,Some Cloud,Unknown bird - large,False,500,False,2002,8,GREELEY-WELD COUNTY ARPT,40.4374008179,-104.633003235,4697.0,63.268475829905256,CO,KDEN_Denver,10.05,66.0,8.75,14.95,0.0,1013.8,1,Low,0
Airplane,"(-1, 0]",1,1,2002-08-25,2.0,New York,Landing Roll,Medium,No Cloud,Peregrine falcon,True,0,False,2002,8,JOHN F KENNEDY INTL,40.639447,-73.779317,13.0,285.81600722845906,NY,KJFK_New_York,8.5,56.0,7.85,16.1,0.0,1017.6,1,Medium,1
Airplane,"(-1, 0]",1,1,2002-08-27,2.0,New York,Take-off run,Small,Some Cloud,Killdeer,True,0,False,2002,8,GREATER BINGHAMTON ARPT,39.9734,-90.403702,465.0,928.1562052517568,NY,KJFK_New_York,8.3,76.5,14.15,16.1,2.2,1013.05,1,Low,0
Airplane,"(5000, 18000]",1,1,2002-08-28,2.0,Colorado,Climb,Small,No Cloud,Unknown bird - small,False,12000,True,2002,8,DENVER INTL AIRPORT,39.52920150756836,-104.65799713134766,6295.0,27.573111187238812,CO,KDEN_Denver,7.3,74.5,2.8,11.05,0.0,1007.45,1,Low,0
Airplane,"(5000, 18000]",1,1,2002-08-29,2.0,Illinois,Climb,Medium,No Cloud,Unknown bird - medium,False,6000,False,2002,8,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,10.05,59.5,15.25,14.4,0.0,1016.8,1,Medium,1
Airplane,"(0, 10]",1,1,2002-08-30,2.0,Illinois,Climb,Small,No Cloud,Unknown bird - small,False,10,True,2002,8,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,11.35,71.5,7.199999999999999,12.55,0.0,1006.1,1,Low,0
Airplane,"(0, 10]",1,1,2002-09-02,2.0,New York,Approach,Small,Overcast,Rock pigeon,False,5,True,2002,9,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,19.2,66.5,4.550000000000001,15.15,1.0,1006.65,1,Low,0
Airplane,"(400, 600]",1,1,2002-09-04,2.0,Illinois,Approach,Small,No Cloud,Unknown bird - small,False,500,False,2002,9,GREATER PEORIA REGIONAL ARPT,38.812906,-106.120062,7946.0,1287.5633843304047,IL,KORD_Chicago,12.3,83.0,7.55,16.1,0.5,1008.5,1,Low,0
Airplane,"(-1, 0]",1,1,2002-09-05,2.0,Illinois,Parked,Small,No Cloud,Unknown bird - small,False,0,False,2002,9,GREATER PEORIA REGIONAL ARPT,38.812906,-106.120062,7946.0,1287.5633843304047,IL,KORD_Chicago,11.35,67.5,7.699999999999999,13.75,0.0,1012.7,1,Low,0
Airplane,"(-1, 0]",1,1,2002-09-08,2.0,New York,Landing Roll,Medium,No Cloud,Unknown bird - medium,False,0,False,2002,9,WESTCHESTER COUNTY ARPT,41.06700134277344,-73.70760345458984,439.0,243.3503200617849,NY,KJFK_New_York,13.1,69.5,9.4,10.5,0.0,1008.15,1,High,2
Airplane,"(1000, 2000]",1,1,2002-09-09,2.0,Illinois,Approach,Small,No Cloud,Unknown bird - small,True,2000,False,2002,9,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,9.7,51.5,9.5,12.9,0.0,1014.8,1,Low,0
Airplane,"(-1, 0]",1,1,2002-09-10,2.0,New York,Take-off run,Small,No Cloud,Unknown bird - small,False,0,False,2002,9,GREATER ROCHESTER INTL,43.1189,-77.672401,559.0,27.86996070509405,NY,KJFK_New_York,11.45,62.5,12.75,14.35,0.0,1017.0,1,Medium,1
Airplane,"(100, 200]",1,1,2002-09-10,2.0,Illinois,Climb,Medium,No Cloud,Unknown bird - medium,False,200,True,2002,9,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,9.3,85.0,12.3,16.1,0.0,1010.5,1,High,2
Airplane,"(100, 200]",1,1,2002-09-11,2.0,Illinois,Climb,Large,No Cloud,Canada goose,True,200,False,2002,9,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,8.233333333333333,60.333333333333336,13.433333333333332,13.266666666666667,0.8,1014.5,1,High,2
